gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Clec2i	Cere	-0.114749828215901	-0.146658436198847	0.18621552025508	15.4639559709969	0.288222029020988	4.83681715652301	4.64733182212798	1	0.218970764879034
Got2-ps1	Cere	-0.125205882774878	-0.137911859841005	0.186269144428812	15.1843113435151	0.288421267382026	4.42371673030117	5.23666100490827	1	0.219033821526096
Gm15544	Cere	-0.215882639700407	-0.118805690832428	0.246414500990072	13.9216735964363	0.288458575103201	2.85088248103034	0.430685713053092	1	0.289758725186656
Proc	Cere	-0.0453449072659866	0.180676668714655	0.186279948552672	6.93924556669551	0.28848939238047	7.72643340970582	0.292471275896804	1	0.21904652609155
Hdac6	Cere	-0.0056682261035361	0.0372542276882463	0.0376829705279256	6.57674638039337	0.288510539316861	11.4086810193598	11.9646860660071	1	0.0443113918115474
Camk2n1	Cere	-0.0341001285615615	-0.0512926806779797	0.061593488771527	15.7588970410505	0.288567654172992	12.2592155104025	12.4960752103444	1	0.0724277618181053
Tnfaip2	Cere	0.111776928441458	-0.0277870231207067	0.115178992814304	23.0693083458643	0.2888256037253	7.89481784009547	7.89607427065618	1	0.135438937205649
Irx2	Cere	-0.0144777566462094	-0.0819600833515266	0.0832289655137925	17.3321590007238	0.288829772423156	9.68116026585616	9.55693788804314	1	0.0978689113221151
Psmc2	Cere	-0.0339353598211226	0.0936778171192396	0.0996350443690109	7.32754852231496	0.288850362531701	12.1362131456955	12.7329782877856	1	0.11716081368703
1700020L24Rik	Cere	-0.174458849330508	0.0975565566455039	0.199882895351884	10.0524191727371	0.288863841988815	9.11638040789231	6.80718121102381	1	0.235042226456117
Gins4	Cere	0.0716699735116022	-0.0328434398138862	0.078837025831535	22.358662366341	0.288905140310862	10.3019954847703	10.5011794709032	1	0.0927044309919624
Gm14239	Cere	0.246711444022041	-0.300523940838606	0.388820235621304	20.6255909586552	0.288940101095511	6.34825106884394	4.26257765446907	1	0.457213578534257
Siah1b	Cere	0.106421858931319	-0.00319823193954549	0.106469905353281	23.8852428388935	0.288963862881355	8.31484351681274	8.19195404546309	1	0.125197924318397
Zbtb17	Cere	-0.0346490147327111	0.0789064646863698	0.0861787931642637	7.58046666296878	0.288976849320234	10.3283804181147	10.5260292705417	1	0.101337612620483
Gm5185	Cere	-0.148156649155996	-0.238347614212493	0.280642081466626	15.8756636912543	0.289122355351031	4.16294866800124	0.503891311210424	1	0.330006925050143
