gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Gm13604	BS	-0.255589824311423	0.281154635695702	0.37996590302911	8.81820651695679	0.630147602550655	6.89684582542952	3.76115485188238	1	0.384903375864605
Oaz3	BS	0.00186422091863315	0.067423121050487	0.0674488885884867	5.89441328898798	0.630164906435473	8.83853906712512	9.17107650238594	1	0.0683253542201003
Olfr677	BS	-0.0299674223795723	-0.0535463341713539	0.0613616843581236	16.0510843764146	0.630204978392973	4.86555615791008	2.089228057926e-16	1	0.0621590497197079
Smndc1	BS	0.0728660830637375	-0.0574893716522811	0.0928142980042708	21.4485009185294	0.630215691375162	10.3311259430631	11.0842820642104	1	0.0940203748429775
Acaa1a	BS	0.0386911074664627	-0.0722749487566153	0.0819796926973548	19.8774384890614	0.630232865089556	11.3740990311306	12.2559479952654	1	0.0830449790889194
Olfr1148	BS	-0.0348709391371129	-0.0197413500572774	0.0400712278123369	13.9676889581042	0.630283046309663	1.27885273876269	2.81726681232916e-16	1	0.040591934005264
Scarf1	BS	-0.0882856129188119	0.0416984588277982	0.097637651124266	10.3145344349367	0.630309321162914	7.22292715510182	7.23006638719381	1	0.098906405100095
V1ra8	BS	0.0567079099026594	0.0077131781666909	0.0572300634540907	0.516373717437596	0.630354447430456	2.47342600432123	2.38376494380606e-16	1	0.0579737404035896
Olfr654	BS	-0.0554081160395848	-0.00124665513508865	0.0554221388263024	12.0859272775137	0.630433736078548	3.00314092512523	7.07113583819729e-16	1	0.0561423226711117
Tubb6	BS	-0.0816055988589094	-0.0657720001144634	0.104811400926513	14.5911943439107	0.630458541559887	8.60409957133231	9.19833762544572	1	0.106173374305701
Gm5697	BS	-0.0558956922789029	0.0347945693893448	0.0658406445467215	9.8732069921094	0.630462504870058	6.7723214742921	6.01838509653123	1	0.0666962118261257
Tmem53	BS	0.0384577158733337	0.0352516005926069	0.0521696392026507	2.83395933748676	0.630479926246673	9.04182263438986	8.97035406522325	1	0.0528475583905231
