	init	U	tau.w	L	tau.s	tau.mrna	logL	bic	convergence	msg	min.tau	max.tau	UL.delta	genelab
Hspb1	3.46377831831796	3.9011913453045	6.08961930732225	2.36910587157839	0.480898346962988	1.16372095194085	-12.3837802135111	48.9196705714331	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	6.0896193	1.5320854737261	Hspb1
Zdbf2	3.01535003228042	3.67929717325873	11.2815431139891	2.18724883887271	2.58680832147971	1.00405306013398	4.72662306946243	14.698864005486	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.5868083	11.2815431	1.49204833438601	NA
Spry4	3.25018261750267	3.58114555353938	4.64085896498102	2.08935508596675	2.81747716108061	0.987942374067575	0.60453703781784	22.9430360687752	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.8174772	4.640859	1.49179046757263	NA
Tnfrsf12a	2.8120620230041	3.3824693204461	10.629117310832	1.90285587512981	2.59795108860027	1.0271541075021	5.92144173124808	12.3092266819147	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.5979511	10.6291173	1.4796134453163	NA
Layn	2.66110577546699	3.18579292617902	12.189282522778	1.7202423099445	4.09462692770768	1.03302245819255	12.0972091283431	-0.0423081122752862	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.0946269	12.1892825	1.46555061623452	NA
Phf21b	4.23625248290153	5.01598102800302	10.264134866158	3.56441603202093	4.82242264638188	0.937494652263856	9.73348016849812	4.68514980741466	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.8224226	10.2641349	1.45156499598209	NA
Trib2	4.83160113090293	5.31750935794201	5.93249023554677	3.88899262121564	3.22592532179603	0.970228270183293	4.90698335023972	14.3381434439315	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.2259253	5.9324902	1.42851673672637	NA
Fmnl1	7.50975665277773	7.99976513627231	7.46168053817527	6.57795885905143	1.92183532457132	1.00535880428613	26.3298308970031	-28.5075516495952	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.9218353	7.4616805	1.42180627722088	NA
Kdm6b	3.81476526257488	4.37991436529131	7.89184874562418	2.97507323038808	2.40862762460663	0.981625682368958	2.22059996320345	19.710910218004	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.4086276	7.8918487	1.40484113490323	NA
Hunk	3.3824792956427	2.99099971380648	0.480898346962988	4.3868880086658	1.13856614032369	1.11114571795398	-1.57863021916207	27.309370582735	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	1.1385661	-1.39588829485932	NA
Pvrl1	4.76651998712394	5.1958667917293	8.3200273847247	3.80240615123465	2.2519387565903	1.02179508609137	11.9183395298614	0.315431084688143	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.2519388	8.3200274	1.39346064049465	NA
BC051142	1.84775411930252	1.31864512973856	12.9191512083252	2.70928741504638	7.77169737129946	1.03531038136255	2.33403492010564	19.4840403041996	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.7716974	12.9191512	-1.39064228530782	NA
D630023F18Rik	1.96005198134118	1.50031522682522	13.6396800186128	2.88581812817785	7.10915347573974	0.978159236336984	7.04852189718811	10.0550663500347	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.1091535	13.63968	-1.38550290135263	NA
Cldn22	1.31627299766498	0.756983322049612	11.4527794274372	2.14202010529755	4.67868095644885	1.02980820143031	5.10427039628715	13.9435693518366	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.678681	11.4527794	-1.38503678324794	NA
Rbm3	7.11084099386831	6.66152182310192	11.1846023902618	8.03856097253988	5.44370008128367	0.997594640925678	13.2067815427375	-2.26145294106419	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.4437001	11.1846024	-1.37703914943796	NA
Lemd1	3.48866099619383	3.10113964012685	0.480898346962988	4.47031813142267	3.24488774036977	1.11810699767095	5.76321255633558	12.6256850317397	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	3.2448877	-1.36917849129582	NA
Sdf2l1	4.0604918796235	4.36420973078965	3.91576369423375	2.99542716053567	0.480898346962988	1.10144144245745	4.16100495950518	15.8301002254005	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	3.9157637	1.36878257025398	NA
Slc16a3	1.59655492962382	0.938522340837415	13.4903570238407	2.30552866077857	0.480898346962988	0.80113821077413	5.07284870303287	14.0064127383452	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	13.490357	-1.36700631994115	NA
H2-M6-ps	2.11507909653975	1.56318546274915	14.1469699480206	2.9282143682679	5.82757109067103	0.998111419807907	9.65803356100995	4.83604302239101	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.8275711	14.1469699	-1.36502890551875	NA
Map3k14	2.05572094994685	2.63344074746895	11.3606852787801	1.2736552430407	2.97632054830262	1.00443397613	12.2034704639714	-0.254830783531808	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.9763205	11.3606853	1.35978550442824	NA
Mmp23	2.18575799367748	2.30999212670907	5.67568516226492	0.951608381293709	2.45477151291318	1.1210250319156	-1.50847155856291	27.1690532615367	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.4547715	5.6756852	1.35838374541536	NA
Olfr78	1.3607546648997	0.820886986096187	10.8740754257885	2.17919351091779	7.25260502317358	1.1024434774312	-1.55916376665291	27.2704376777167	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.252605	10.8740754	-1.3583065248216	NA
Spata32	1.48454869542977	0.95861456767832	13.5111646109346	2.30402594110276	5.45879802878876	0.986774474741274	3.82546840350744	16.501173337396	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.458798	13.5111646	-1.34541137342444	NA
Arl4d	4.45338946584141	5.0418933063999	7.64072287684605	3.69888186153961	1.80278890536602	0.985433525673387	-9.86528437125201	43.8826788869149	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.8027889	7.6407229	1.34301144486029	NA
Ret	1.2140004978488	1.93459834092829	20.2045908803398	0.60118819315218	5.76755941610421	0.98597816319653	22.3234980365781	-20.4948859287453	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.7675594	20.2045909	1.33341014777611	NA
Anxa2	3.65748577171276	4.06533646110648	19.4560976358671	2.73806257220107	5.59501534688924	1.07355901505169	11.4409698422629	1.270170459885	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.5950153	19.4560976	1.32727388890541	NA
Vgf	7.70298735924731	8.19191044905454	9.6947656817603	6.86703047339244	5.1890522836378	0.991048675594056	9.22840113423798	5.69530787593494	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.1890523	9.6947657	1.3248799756621	NA
Trbc2	4.98690393849806	4.35026512065637	26.0045712471595	5.67478270823339	5.04043087891153	0.969143829385663	4.70562911641874	14.7408519115734	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.0404309	26.0045712	-1.32451758757702	NA
Tbc1d2	2.66568118701571	3.19951820588799	5.36829589693034	1.87712458873755	2.41630188096271	0.930338599144687	21.8565411554074	-19.5609721664038	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.4163019	5.3682959	1.32239361715044	NA
Tmem86b	3.08488764283569	3.66819860504956	13.1875140549921	2.35632843095585	1.97606720606211	1.0432782056669	20.4796277577648	-16.8071453711188	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.9760672	13.1875141	1.31187017409371	NA
Klhdc9	2.15374256347514	1.59099341756511	6.25427652232883	2.89693400304629	0.692033813664846	0.947201145869849	32.3666499987237	-40.5811898530365	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.6920338	6.2542765	-1.30594058548117	NA
Trim7	1.82066723521685	1.24269058417782	8.03740274689271	2.54473636200158	0.480898346962988	0.863721480644919	5.4884010836216	13.1753079771677	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	8.0374027	-1.30204577782376	NA
Nab2	5.03919176488557	5.5008316956394	7.09582317877008	4.19974779940074	3.95131209940884	0.974254535203344	6.20985202407085	11.7324060962692	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.9513121	7.0958232	1.30108389623866	NA
Sertad1	3.84908822798963	4.45106701720398	9.09531005180018	3.15979970166644	2.78940915662979	0.969761054745738	9.13955694099282	5.87299626242527	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.7894092	9.0953101	1.29126731553754	NA
Mamstr	1.68917486994047	1.25232389130033	8.20966246318555	2.54328815630419	0.905676166929701	0.871027773415876	-0.699872900158091	25.5518559447271	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.9056762	8.2096625	-1.29096426500386	NA
1700016K19Rik	1.8180818301086	1.15793748089352	10.6196994048698	2.44832158386805	0.480898346962988	0.869938251202314	14.6775989847095	-5.20308782500815	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	10.6196994	-1.29038410297453	NA
Ier5	5.95989792014808	6.4540268609392	6.12913600904983	5.16754755507775	2.9122535457113	0.973535814421984	14.4005468235275	-4.64898350264419	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.9122535	6.129136	1.28647930586145	NA
Nudt6	2.36729674578398	1.75665404864969	19.4137879211765	3.03761952370513	1.72681747996477	0.910194460774139	6.26659291461691	11.6189243151771	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.7268175	19.4137879	-1.28096547505544	NA
Krtcap3	3.31552260128745	3.54278544043071	6.07912699080675	2.26273818140907	3.32998640104663	1.02319149632749	16.9986442317761	-9.84517831914133	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.3299864	6.079127	1.28004725902164	NA
Maml3	2.27506458237116	2.84042755028791	10.6768949567501	1.56377292039455	0.93664742148298	1.09867156782447	4.17113654231403	15.8098370597828	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.9366474	10.676895	1.27665462989335	NA
Hspa5	7.48280772414809	8.04557613651048	4.84397691018624	6.76948443415702	0.480898346962988	1.01858954386249	14.899376936487	-5.64664372856311	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	4.8439769	1.27609170235345	NA
Crem	5.13214641872074	5.59262319034519	10.4986785314012	4.31838243005133	3.50732760451538	1.00744866883943	21.337098245948	-18.5220863474851	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.5073276	10.4986785	1.27424076029386	NA
B4galnt3	0.693788395065288	1.17093426964929	17.5241742035067	-0.0963322162611596	3.54225153078431	1.45256323837624	16.269904034495	-8.38769792457908	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.5422515	17.5241742	1.26726648591045	NA
Wnt10b	0.741904386360403	0.327968161678582	11.1942275713657	1.59241091947931	7.03179417704582	1.02650299103121	11.9198419591256	0.312426226159722	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.0317942	11.1942276	-1.26444275780072	NA
Lipg	1.94742079549926	2.56110404080695	14.8096375810807	1.2982644429963	4.96042975165061	0.978588757133322	14.1574867455126	-4.16286334661437	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.9604298	14.8096376	1.26283959781064	NA
Eno3	3.29313995826752	2.81006799916852	11.7773706155439	4.05660065903674	5.72365087811679	1.01235395409448	11.5213885189693	1.10933310647229	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.7236509	11.7773706	-1.24653265986823	NA
Pde10a	4.84993991242359	5.41151189985309	15.6332377637078	4.17009888242352	1.71320831788825	1.04153415331084	-2.4672060559879	29.0865222563867	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.7132083	15.6332378	1.24141301742957	NA
Synj2	6.48917900795014	6.80922702585213	6.60995282688904	5.56957756239411	3.2933330608097	1.00082475478237	23.4797176631046	-22.8073251817983	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.2933331	6.6099528	1.23964946345802	NA
